,SUBJECT,SESSION,RUN,trial_in_session
11818,1,16,10,568
11828,1,16,10,578
11860,1,16,10,610
11862,1,16,10,612
11865,1,16,10,615
11889,1,16,11,639
11902,1,16,11,652
11925,1,16,11,675
11933,1,16,11,683
11937,1,16,11,687
11939,1,16,12,689
11945,1,16,12,695
11948,1,16,12,698
11976,1,16,12,726
11977,1,16,12,727
11978,1,16,12,728
11984,1,16,12,734
11999,1,16,12,749
12001,1,17,1,1
12002,1,17,1,2
12008,1,17,1,8
12022,1,17,1,22
12028,1,17,1,28
12043,1,17,1,43
12046,1,17,1,46
12051,1,17,1,51
12063,1,17,2,63
12080,1,17,2,80
12098,1,17,2,98
12103,1,17,2,103
12109,1,17,2,109
12130,1,17,3,130
12131,1,17,3,131
12141,1,17,3,141
12152,1,17,3,152
12154,1,17,3,154
12165,1,17,3,165
12169,1,17,3,169
12184,1,17,3,184
12196,1,17,4,196
12197,1,17,4,197
12206,1,17,4,206
12208,1,17,4,208
12219,1,17,4,219
12221,1,17,4,221
12222,1,17,4,222
12223,1,17,4,223
12226,1,17,4,226
12233,1,17,4,233
12244,1,17,4,244
12248,1,17,4,248
12251,1,17,5,251
12255,1,17,5,255
12268,1,17,5,268
12279,1,17,5,279
12302,1,17,5,302
12323,1,17,6,323
12341,1,17,6,341
12363,1,17,6,363
12367,1,17,6,367
12375,1,17,7,375
12382,1,17,7,382
12384,1,17,7,384
12385,1,17,7,385
12410,1,17,7,410
12415,1,17,7,415
12418,1,17,7,418
12420,1,17,7,420
12432,1,17,7,432
12433,1,17,7,433
12439,1,17,8,439
12451,1,17,8,451
12463,1,17,8,463
12487,1,17,8,487
12488,1,17,8,488
12489,1,17,8,489
12492,1,17,8,492
12508,1,17,9,508
12510,1,17,9,510
12564,1,17,10,564
12585,1,17,10,585
12605,1,17,10,605
12610,1,17,10,610
12661,1,17,11,661
12702,1,17,12,702
12718,1,17,12,718
12741,1,17,12,741
12759,1,18,1,9
12761,1,18,1,11
12762,1,18,1,12
12764,1,18,1,14
12768,1,18,1,18
12771,1,18,1,21
12772,1,18,1,22
12776,1,18,1,26
12778,1,18,1,28
12795,1,18,1,45
12798,1,18,1,48
12802,1,18,1,52
12820,1,18,2,70
12821,1,18,2,71
12837,1,18,2,87
12840,1,18,2,90
12858,1,18,2,108
12868,1,18,2,118
12872,1,18,2,122
12885,1,18,3,135
12888,1,18,3,138
12902,1,18,3,152
12905,1,18,3,155
12907,1,18,3,157
12926,1,18,3,176
12932,1,18,3,182
